CANDIDATE_ID,Job_Title
7152582,receptionist
7152582,Sales assistant
7152582,waitress
7152565,graphic designer
7152565,warehouse manager
7152565,warehouse worker
7150870,
7150866,Service Manager
7150862,
7149629,secretary
7149629,sales manager
7149627,photographer
7149627,sales assistant
7147958,mechanical engineer
7147244,cashier
7147230,waitress
7147227,office manager
7147227,sales manager
7147227,electrician
7147227,service manager
7147224,waitress
7147224,cook
7144905,baker
7144473,barista
7144473,sales assistant
7144465,cook
7144465,electrician
7144465,sales assistant
7144460,
7144459,
7144448,
7144446,
7144444,waitress
7144443,waitress
7144443,bartender
7144443,warehouse worker
7142973,
7141415,
7141408,illustrator
7141408,sales assistant
7141408,photographer
7141408,cashier
7141408,chef
7141408,waiter
7141406,babysitter
7141406,waitress
7141400,goldsmith
7141399,receptionist
7141399,cashier
7141398,
7139299,
7138619,accountant
7138271,lawyer
7138271,barista
7138271,sales assistant
7138257,hairdresser
7136953,
7136778,warehouse worker
7136778,civil engineer
7136778,library assistant
7136771,extra
7136770,event assistant
7136770,sales assistant
7136769,secretary
7136769,sales manager
7135846,merchandiser
7135846,electricity sales representative
7135833,
7134923,promoter
7134919,office manager
7134919,Illustrator
7133277,barista
7133245,babysitter
7133245,legal assistant
7133245,insurance broker
7133245,lawyer
7133245,legal consultant
7133236,promoter
7133236,secretary
7133236,hostess
7133236,sales assistant
7133235,secretary
7133235,accountant
7132126,massage therapist
7131687,waiter
7131687,cook
7131687,bartender
7131687,medium
7131635,
7130962,receptionist
7130960,
7130952,laundry worker
7130948,
7130946,tutor
7130946,musician
7129413,chef
7128251,Receptionist
7128251,sales assistant
7128251,secretary
7128251,doorman
7128251,receptionist
7128251,Warehouse worker
7128251,shop assistant
7128245,
7128244,
7128238,hostess
7128238,doorman
7128238,waiter
7128238,escort
7128236,babysitter
7128236,barista
7128236,chef
7128236,cook
7128233,warehouse worker
7126374,warehouse worker
7125995,
7125304,waitress
7125302,personal trainer
7125302,Cashier
7125302,accountant
7125302,Project Manager
7125297,
7122567,police officer
7122535,secretary
7122535,cashier
7122535,sales assistant
7122535,medium
7122530,sales manager
7122524,
7120649,warehouse worker
7120648,tourist guide
7120640,
7118292,
7117903,
7117899,restaurant manager
7117899,waitress
7117450,waitress
7116094,postman
7115863,medium
7115863,web developer
7114616,postman
7114616,secretary
7114616,bartender
7114616,waiter
7114608,warehouse worker
7114608,escort
7114604,barista
7114598,interior designer
7114596,
7114587,financial manager
7114582,kitchen assistant
7114582,hairdresser
7114582,knitter
7114580,waitress
7114580,chef
7114577,plumber
7111885,babysitter
7111885,tutor
7111879,
7111873,accountant
7111871,horse riding instructor
7111871,Project Manager
7111869,photographer
7111868,tourist guide
7111868,barista
7111868,waitress
7111868,sales assistant
7111868,translator
7111867,
7110222,plumber
7110222,welder
7110184,medium
7110184,department manager
7109954,warehouse worker
7109273,waitress
7109273,cook
7109123,barista
7109123,waitress
7109123,warehouse worker
7109123,sales assistant
7109078,animator
7109078,graphic designer
7109078,warehouse worker
7109078,cashier
7109076,Warehouse worker
7109076,warehouse manager
7109076,forklift operator
7109060,warehouse worker
7109058,cashier
7109058,administrative assistant
7109058,sales assistant
7109056,secretary
7109056,sales assistant
7109056,accounting analyst
7109012,waitress
7105461,doorman
7105459,warehouse worker
7105455,promoter
7105455,medium
7105455,merchandiser
7105455,producer
7105452,electrician
7105452,industrial electrician
7105450,chemist
7105448,office clerk
7105448,accountant
7103390,
7103388,waiter
7103387,service manager
7103387,financial auditor
7102531,tourist guide
7102531,babysitter
7099528,warehouse worker
7099414,companion
7099403,
7099400,secretary
7099400,cashier
7099400,accountant
7099394,pharmacist
7099394,sales assistant
7099394,tutor
7097177,waitress
7097177,bartender
7097177,cashier
7097177,dental technician
7096181,ambassador
7096181,sales assistant
7096180,barista
7096180,cashier
7096180,cook
7096168,waiter
7096166,bartender
7093722,secretary
7093722,notary
7093722,accountant
7093607,
7093453,
7093379,sales assistant
7093379,cashier
